data,produto,preco,link
2026-03-12 14:40:48,Apple iPhone 15 (256 GB) - Rosa - Distribuidor Autorizado,8095.78,https://www.mercadolivre.com.br/apple-iphone-15-256-gb-rosa-distribuidor-autorizado/p/MLB1027172670#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=01f6b79f-5243-42f1-824c-e1e27a204aae&wid=MLB4411239418&sid=search
2026-03-12 14:40:52,Console Playstation®5 Slim Digital - Pacote Astro Bot E Gran Turismo 7 - Branco,3999.2,https://www.mercadolivre.com.br/console-playstation5-slim-digital-pacote-astro-bot-e-gran-turismo-7-branco/p/MLB57081243#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=52a82258-27b5-4434-b884-3949997f0441&wid=MLB4214670787&sid=search
2026-03-12 14:40:58,Anel Page Turner Com Controle Remoto Para Kindle Paperwh,172.88,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=LPpXXyKr39%2B%2F0kue%2FY6druCn3skgl4JKEOXxSbkBNin1jGZAQQFILx96XAe0ZIbkZga6BDBh3u4o54yAig2q8L0sOvJeHQqthltscV6bJ1blZRq6ripr2%2FYG9NAxLxYSkgTXseVFJjY%2B6VSnl55LyIRB1e5Myt7ukOJG0P%2Bb898MzyPP6WlCtDgkrD%2FxmEDWjRVoAp6HZE3DdxEBf8mW8gJlm8uEOzPJzlMytZzrqarmMWyd1H7fPOhUWXQyLy7SWZg9n1hqDUY7cGAM4TG8vt%2Fl0BtUGyT9swWxjEmEP6nrKgLo7itX%2FFWAqOwZoeiETlhdnrZi5nbJcotIemQusZO4%2B9Alo23aezwMeMT4E3MaAIX4mOtVpsmRbC0PAu1%2FILJ27Tfsp8O64EWu7EDy1qHyvMFrgqkByCEZOgUMpTzeTmYZrSY3tbH9CFeLwWbxGUE%2FbD40uW8owjX3urSP16XYpPcJ%2F4XMN0MLvBNo2KQB0JqgmChJv0%2FrLhgpwmX9Vt3Zn2IT0IllF7gsucV3zOinLQhE29V3ErIUujL2h%2F4Iwa0UKkU4r9IY1fj41thAz7ztI2Ar1bvMqbGBc5kXfjil0V7yVDPjXN2X%2FKpj5XM4DR8SNvTEErRHs2ZrP%2F2M1x4LA9vdhnR%2BHy0bCDtGzNeqN2XWfjfxbVnnUqsOLVGE24J7cttMjwPzZBzYD9JGBsW%2FInl%2BDWaAuUt1oJ1xiYDDHEpd05XqFuyBdB7v8Ud%2B5tqYb1FjlDmot7aemMoxKkGsNIdlBOI1DnAL6M9BZfwMbAIHksIUzVbeanSQttTTK5OToTmOtHkbQD6nSnXnMv5c6Md%2F1yT32AvR583tHHkLLEZ%2BYfZhA2WKmWnobuEBw3%2BsECsmNaZD4fruTIfZ8mQzC1q2OqIBy6ftxyoS6PMmSKp16oqHLH50QAx3G4aqU%2Fygq8MlUABQZ5KK3FBtUjPzqYY%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB2061691383&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=b4f3fd3a-ccee-4408-8b52-208796b0ca40&wid=MLB6254575214&sid=search
