data,produto,preco,link
2026-03-13 11:16:38,Apple iPhone 15 (128 GB) - Preto - Distribuidor Autorizado,7209.0,https://www.mercadolivre.com.br/apple-iphone-15-128-gb-preto-distribuidor-autorizado/p/MLB1027172677#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=5a1e0460-2e0b-4667-a5fe-6f0d9e80ab91&wid=MLB4408548448&sid=search
2026-03-13 11:16:46,Console Playstation®5 Slim Digital - Pacote Astro Bot E Gran Turismo 7 - Branco,3999.2,https://www.mercadolivre.com.br/console-playstation5-slim-digital-pacote-astro-bot-e-gran-turismo-7-branco/p/MLB57081243#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=8ba90363-d3db-454e-87c8-6ff6ae4cb0f4&wid=MLB4214670787&sid=search
2026-03-13 11:16:54,"Película Kindle Paperwhite 11 Ger - 2021 Tela 6,8 Wb Fosca",59.0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XoS5BQgKuo1DGalgF4ZI5AOaF1Z2pfTa7rQQPz3VPbFxOOHXZzSeAwzZ15Vqcvr%2B5fIvfmvi9HDkgaVV93SAWMKgIV8wfzDJg5hWVQR0eQn0HyBGrv2kslwwQQxZoJMOurhUntd5MW7deZHCPdjr89S%2Bhd2yTqwWHtWsPj1QncT0oflbgka29lKZrlgVKYA%2B1OZExMuTcRbliXKBDhB4MUbCLELa8FDWVX3uM%2BtxxgueRoz5UneWAF%2BHMWnop9hlbHOXf2rzi%2Bk7fShKRnT2VJzceDOEBq%2FJFUAV0VRl2hSVvwKxGK3QXBPwyTJoT9wxXlxfiaENwZ%2FUXGm0Xs1mTEeglVa8d5%2B0VmqusKqKpLGt1eb7KolOf43fnPyi8g5WzPXARMwHQRR%2Bt6lI9iYTbRChS4QOpBq4eUhlXzJS%2BKZfN5z0nAHtOYsB5J5eTnNMek1CPKJvmmbCPZEvTlhayMwC3QgjGViddTx6SyfVt4iRqYuO6BSi31uVfRgf3xqjDuI767WHS9GS3g1u42GwsQpzqwIrAOrzVztTBrsGzFtLYPQoVLki5D2s%2FOpdl1gG%2BYiSpq8CypDtH9bSglKMy4Mkp8SN2ilDMy5HtIN2UtS%2FVhXmI%2FOR%2BWbXxhvzodSKdGFmqx1BWKhWN39ZTzuQNEpsNL1EP2svisR5kaMP7qaO1M0KBxGJ195LmddFwhFQ%2BGMQpaxYkG9hZ0HqjSeOczuWb93q7%2BFrQtHGLYCZB6NNwuQ1BwCnBYhX6pVFj0lKMp6x9qgZqPvRPSbuCU%2Bcn8kiC1c5DawF6E7vHaiQg2in7qIfVdO56%2FcwbKzwq5cg%2FZxkTlYIua4zGCMVM6D3aOZZ9tdh4mclyiCl%2BMdeuOId9KFcU3Wsv0uOFVf5etMhK97EvsU8cL%2Bqh5S4kHuuYlPDpGkGN8wqdxF5IPozww9hhaqc1XAe4Nl%2BTbVu#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB52904786&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=83ef4ed3-34d6-4f4d-95e6-6caa84f8bdfb&wid=MLB4137302101&sid=search
